Represent data on houses found in May 24, on pin.tt, within 5km of chaguanas									
									
Square Footage (x 1000)	# Bedrooms	# Bathrooms	Gated	AC	Fully Tiled	Patio	Pool	Floors	Price (millions)
1.150	3	2.5	1	1	1	1	0	2	1.6
1.450	3	2	1	1	1	0	0	1	1.4
2.080	3	2	1	0.5	0.5	0	0	2	4.7
1.800	3	2	1	1	1	1	0	1	1.9
4.375	4	3	1	0	1	1	0	2	3.5
1.100	3	2.5	1	1	0.5	0	0	2	1.35
1.120	3	2	1	0.5	1	1	0	1	1.3
1.500	3	2.5	1	1	1	1	0	3	2.55
2.000	4	2	1	1	1	1	0	1	2.5
1.530	3	2.5	1	1	1	1	1	2	1.85
1.800	3	3.5	1	1	1	0	0	2	1.7
1.700	3	2.5	1	0.5	1	1	0	2	1.42
3.200	3	2	1	0	1	1	0	2	2
1.735	3	2.5	1	1	1	0	0	2	1.89
1.500	3	2.5	1	1	1	1	1	2	1.85
2.050	3	2	0	1	1	1	0	1	1.85
1.460	2	2.5	1	1	1	1	0	1	1.45
3.000	3	4	1	0.5	1	1	0	2	4.5
1.700	3	2	0	0	1	0	0	1	1.625
2.200	5	2.5	1	1	1	1	0	1	4
2.560	5	2.5	0	1	0.5	1	1	1	3.9
2.720	4	4	0	0	0.5	0	0	2	1.6
2.100	3	3	0	1	1	0	0	1	2.3
1.100	3	2.5	0	0.5	1	1	1	2	1.35
4.375	4	3	0	1	1	0	0	2	3.5
1.500	3	2.5	1	0	1	0	0	2	1.485
1.200	3	2	1	0.5	1	0	0	1	1.5
1.100	3	2	1	0.5	1	0	0	0	1
1.150	3	2	1	0.5	1	0	0	1	1.33
2.720	4	4	1	0	0.5	0	0	2	1.6